epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
81,9949.2,1.64182,2.62868,2.04847,1.6748,0,0.25573,0.28505,0.21448,0.0902,0.51381,0.25959,0.2062,0.08484,2.18434,2.51406,2.50764,2.40402,0,0.00736,0.00736,0.00736
82,10075.1,1.66021,2.65885,2.05849,1.68837,0,0.5084,0.25221,0.21711,0.09894,0.50137,0.24338,0.20717,0.09145,2.19882,2.51152,2.51833,2.40683,0,0.007327,0.007327,0.007327
83,10194.7,1.63258,2.66029,2.07068,1.67696,0,0.26497,0.28683,0.22768,0.0964,0.25912,0.27846,0.21586,0.09494,2.17051,2.44633,2.45552,2.5716,0,0.007294,0.007294,0.007294
84,10317.2,1.6252,2.67056,2.0339,1.67292,0,0.24667,0.29965,0.23001,0.10391,0.25414,0.27832,0.22136,0.10117,2.18106,2.46822,2.49982,2.48549,0,0.007261,0.007261,0.007261
85,10440.5,1.63184,2.62696,2.03977,1.68828,0,0.32534,0.29771,0.23063,0.10784,0.3211,0.27708,0.21833,0.1013,2.17809,2.48672,2.50325,2.47441,0,0.007228,0.007228,0.007228
86,10564.3,1.63028,2.62743,2.0546,1.67859,0,0.24042,0.307,0.23419,0.09833,0.24629,0.28798,0.2208,0.08998,2.16446,2.45494,2.46591,2.56955,0,0.007195,0.007195,0.007195
87,10686.2,1.63679,2.62861,2.06997,1.67773,0,0.33227,0.26271,0.20696,0.08785,0.31652,0.24798,0.19603,0.08247,2.17062,2.45894,2.53253,2.51351,0,0.007162,0.007162,0.007162
88,10805.9,1.62574,2.62149,2.02465,1.67675,0,0.30334,0.27032,0.23124,0.10105,0.23747,0.25583,0.22114,0.09699,2.20285,2.48423,2.50553,2.66635,0,0.007129,0.007129,0.007129
89,10927.2,1.59552,2.61519,2.00476,1.6575,0,0.31127,0.28851,0.23916,0.10338,0.30427,0.2738,0.22754,0.09766,2.16125,2.4274,2.48598,2.50179,0,0.007096,0.007096,0.007096
90,11050.9,1.61984,2.64829,2.02406,1.67652,0,0.23552,0.26188,0.22604,0.10195,0.23215,0.25474,0.21454,0.09302,2.12622,2.42036,2.41525,2.3975,0,0.007063,0.007063,0.007063
91,11174.4,1.60554,2.64396,2.02572,1.6636,0,0.29997,0.29371,0.23422,0.10188,0.30932,0.28198,0.21985,0.09209,2.15535,2.42272,2.47099,2.45006,0,0.00703,0.00703,0.00703
92,11297,1.57003,2.60093,1.96923,1.6309,0,0.30339,0.24285,0.21614,0.09486,0.31256,0.22928,0.20133,0.08409,2.17232,2.50818,2.45877,2.51679,0,0.006997,0.006997,0.006997
93,11417,1.60002,2.64095,1.97722,1.64499,0,0.25295,0.31809,0.24274,0.10848,0.28487,0.25754,0.23773,0.10223,2.1949,2.41582,2.40168,2.59329,0,0.006964,0.006964,0.006964
94,11538.1,1.59367,2.57752,1.9754,1.65022,0,0.37255,0.28695,0.26078,0.11125,0.38117,0.28722,0.25954,0.11253,2.15903,2.40458,2.32405,2.61186,0,0.006931,0.006931,0.006931
95,11662,1.60704,2.58437,1.97053,1.65148,0,0.30776,0.31878,0.24446,0.10289,0.29846,0.31261,0.23088,0.09653,2.18086,2.41585,2.44337,2.75843,0,0.006898,0.006898,0.006898
96,11786,1.61133,2.5907,1.99069,1.66171,0,0.32175,0.29083,0.23959,0.10831,0.33323,0.26712,0.22382,0.10042,2.14977,2.3974,2.44308,2.52,0,0.006865,0.006865,0.006865
97,11909.2,1.63579,2.63343,2.01921,1.66592,0,0.28853,0.3114,0.25715,0.10871,0.29132,0.31211,0.25572,0.10812,2.16757,2.47055,2.40434,2.57955,0,0.006832,0.006832,0.006832
98,12031,1.59381,2.63025,1.99272,1.63488,0,0.31553,0.30047,0.24451,0.10543,0.2516,0.27482,0.22957,0.09981,2.20095,2.44784,2.4681,2.74693,0,0.006799,0.006799,0.006799
99,12151.7,1.60441,2.61297,1.98696,1.6446,0,0.2523,0.34471,0.26062,0.11788,0.30348,0.26109,0.24651,0.10911,2.13751,2.41605,2.36915,2.57653,0,0.006766,0.006766,0.006766
100,12271.7,1.59185,2.58149,1.97521,1.64277,0,0.3101,0.31701,0.253,0.11024,0.32783,0.26954,0.22422,0.09559,2.18391,2.47823,2.45857,2.62375,0,0.006733,0.006733,0.006733
101,12393.6,1.57935,2.53961,1.97468,1.63637,0,0.29134,0.2745,0.26342,0.12445,0.33249,0.28504,0.24681,0.11774,2.12866,2.40952,2.30519,2.41661,0,0.0067,0.0067,0.0067
102,12517.5,1.55847,2.52168,1.92949,1.61582,0,0.25963,0.37303,0.27748,0.12953,0.26358,0.32658,0.25862,0.12227,2.1293,2.43827,2.35032,2.45086,0,0.006667,0.006667,0.006667
103,12641.1,1.5652,2.53542,1.93769,1.62687,0,0.32183,0.32671,0.24918,0.11504,0.30604,0.30468,0.23506,0.10514,2.13542,2.41584,2.36072,2.64076,0,0.006634,0.006634,0.006634
104,12763.9,1.60311,2.61527,1.98227,1.63852,0,0.27571,0.30828,0.23357,0.10134,0.28913,0.28873,0.22475,0.09665,2.12925,2.46368,2.49128,2.44504,0,0.006601,0.006601,0.006601
105,12885.9,1.57053,2.55274,1.92376,1.61939,0,0.27827,0.32153,0.24649,0.10738,0.26655,0.27705,0.23028,0.09968,2.17379,2.42691,2.42371,2.5957,0,0.006568,0.006568,0.006568
106,13008,1.5576,2.5325,1.89874,1.60465,0,0.28401,0.32605,0.24145,0.10482,0.28553,0.31213,0.22774,0.10105,2.17738,2.39378,2.39652,2.57182,0,0.006535,0.006535,0.006535
107,13130,1.56009,2.59058,1.90199,1.61697,0,0.32823,0.34433,0.26592,0.11411,0.31934,0.3262,0.24894,0.10652,2.14814,2.38658,2.36126,2.4734,0,0.006502,0.006502,0.006502
108,13252.1,1.55528,2.53263,1.88734,1.62049,0,0.30926,0.32852,0.26619,0.11409,0.30269,0.31549,0.24266,0.105,2.1832,2.3523,2.31184,2.71882,0,0.006469,0.006469,0.006469
109,13373.4,1.54146,2.53972,1.90495,1.61874,0,0.30789,0.29941,0.24723,0.11056,0.30826,0.27106,0.24125,0.10584,2.15466,2.40179,2.4262,2.585,0,0.006436,0.006436,0.006436
110,13493.5,1.5448,2.5008,1.89837,1.61006,0,0.2759,0.34247,0.27428,0.12158,0.26886,0.33525,0.25418,0.10994,2.16931,2.40126,2.34629,2.65216,0,0.006403,0.006403,0.006403
